,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
154,2135785330,9873797722,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,4.937,40,"LINESTRING (104.8750026 11.562752, 104.8749573 11.5627533)","(11.562752, 104.8750026)","(11.5627533, 104.8749573)",01-Sep-23 8.35 AM - 20240115193729.png,01-Sep-23,8:35 AM
155,2135785334,9024722047,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,44.533,40,"LINESTRING (104.8623065 11.5631276, 104.8618979 11.5631398)","(11.5631276, 104.8623065)","(11.5631398, 104.8618979)",01-Sep-23 8.35 AM - 20240115193733.png,01-Sep-23,8:35 AM
156,2135785334,5719245399,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,87.41,40,"LINESTRING (104.8631085 11.5631034, 104.8626482 11.5631173, 104.8623065 11.5631276)","(11.5631034, 104.8631085)","(11.5631276, 104.8623065)",01-Sep-23 8.35 AM - 20240115193739.png,01-Sep-23,8:35 AM
157,2135785335,5312954071,10000,920002945,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,primary,False,103.742,,"LINESTRING (104.872332 11.5626601, 104.8732838 11.56263)","(11.5626601, 104.872332)","(11.56263, 104.8732838)",01-Sep-23 8.35 AM - 20240115193743.png,01-Sep-23,8:35 AM
158,2135785335,10771953155,10000,920002945,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,primary,False,10.452,,"LINESTRING (104.8722361 11.562663, 104.872332 11.5626601)","(11.562663, 104.8722361)","(11.5626601, 104.872332)",01-Sep-23 8.35 AM - 20240115193748.png,01-Sep-23,8:35 AM
159,2135785337,3305178163,10000,231645323,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,62.812999999999995,,"LINESTRING (104.8871811 11.56464, 104.887383 11.5647103, 104.8876749 11.5649206)","(11.56464, 104.8871811)","(11.5649206, 104.8876749)",01-Sep-23 8.35 AM - 20240115193753.png,01-Sep-23,8:35 AM
160,2135785337,2135785375,10000,1124328391,1,2,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,105.093,40,"LINESTRING (104.8864157 11.5640647, 104.8871811 11.56464)","(11.5640647, 104.8864157)","(11.56464, 104.8871811)",01-Sep-23 8.35 AM - 20240115193757.png,01-Sep-23,8:35 AM
161,2135785343,5719245403,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,51.715,40,"LINESTRING (104.8608409 11.5631715, 104.8603664 11.5631857)","(11.5631715, 104.8608409)","(11.5631857, 104.8603664)",01-Sep-23 8.35 AM - 20240115193802.png,01-Sep-23,8:35 AM
162,2135785343,2807858005,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,60.162,40,"LINESTRING (104.8613929 11.563155, 104.8608409 11.5631715)","(11.563155, 104.8613929)","(11.5631715, 104.8608409)",01-Sep-23 8.35 AM - 20240115193807.png,01-Sep-23,8:35 AM
163,2135785344,6128776292,10000,651943546,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,67.824,40,"LINESTRING (104.8530916 11.5612813, 104.8529204 11.5611651, 104.8525948 11.5609141)","(11.5612813, 104.8530916)","(11.5609141, 104.8525948)",01-Sep-23 8.35 AM - 20240115193811.png,01-Sep-23,8:35 AM
